,Unnamed: 0,Product name,rating
71,71,Organic Honeycrisp Apples,Nutri-Score B - Good nutritional quality
72,72,Jasmine Tea Unfiltered Ginger Ale,Nutri-Score E - Bad nutritional quality
73,73,Artisan Chick'n & Apple Sausage,
74,74,"Hemp Protein, Organic",Nutri-Score C - Average nutritional quality
75,75,Spinach Basil Garlic Linguini,Nutri-Score not computed - Unknown nutritional quality
76,76,Coconut Chocolate Chip Energy Bar,Nutri-Score D - Poor nutritional quality
77,77,Nutter Butter Cookie Bites Go-Pak,
78,78,Wild Albacore Tuna No Salt Added,Nutri-Score not computed - Unknown nutritional quality
79,79,French  Tarragon Wine Vinegar,
80,80,Blakes Chicken Parmesan Dinner,
81,81,All Natural 100% Apple Juice,Nutri-Score C - Average nutritional quality
82,82,100% Whole Wheat Pita Bread,Nutri-Score A - Very good nutritional quality
83,83,Lamb Shank,Nutri-Score not computed - Unknown nutritional quality
84,84,Soppressata Piccante,Nutri-Score not computed - Unknown nutritional quality
85,85,"Camilia, Single Liquid Doses",
86,86,Classics Earl Grey Tea,
87,87,Probiotics High Potency Capsules,
88,88,Yogurt Fruit Dip Sliced Apples,Nutri-Score C - Average nutritional quality
89,89,Smorz Cereal,
90,90,Kind Prenatal Once Daily,
91,91,Meat In The Middle Large Rawhide Chews,
92,92,Uncured Cracked Pepper Beef,Nutri-Score E - Bad nutritional quality
93,93,Organic Blueberry Blitz Fruit & Veggie Smoothie Mashups,Nutri-Score not computed - Unknown nutritional quality
94,94,Organic Rice Vinegar,Nutri-Score not computed - Unknown nutritional quality
95,95,Sprinklez Confetti Fun Organic Toppings,
96,96,Organic Chamomile Lemon Tea,Nutri-Score not computed - Unknown nutritional quality
97,97,2% Yellow American Cheese,Nutri-Score E - Bad nutritional quality
98,98,Local Living Butter Lettuce,
99,99,Peanut Butter & Strawberry Jam Sandwich,Nutri-Score B - Good nutritional quality
100,100,"Bread, Healthy Whole Grain",Nutri-Score A - Very good nutritional quality
101,101,Danish Butter Cookies,Nutri-Score E - Bad nutritional quality
102,102,Sprouted Kale Cracker,Nutri-Score not computed - Unknown nutritional quality
103,103,High Fiber Tomato Basil Soup,
104,104,"Easy Grab 9\""x13\"" Oblong Glass Bakeware",
105,105,Organic Yummy Tummy Maple & Brown Sugar Instant Oatmeal,
106,106,Mild Salsa Divino,
107,107,Organic Sprouted Barley Bread,
108,108,Grape Leaf Hummus Wrap,
109,109,Uncured Turkey Bologna,
110,110,"Fabric Softener, Geranium Scent",
111,111,Hot Tomatillo Salsa,Nutri-Score B - Good nutritional quality
112,112,Infant's Blend Probiotic,
113,113,Light Savory Beef Barley Vegetable Soup,Nutri-Score B - Good nutritional quality
114,114,Scooby-Doo! Fruit Flavored Snacks,Nutri-Score D - Poor nutritional quality
115,115,English Muffins,Nutri-Score A - Very good nutritional quality
116,116,Petit Suisse Fruit,Nutri-Score B - Good nutritional quality
117,117,Ground Turkey Chub,
118,118,Chardonnay Paso Robles,
119,119,Cauliflower Florettes,
120,120,Sharp Cheddar,Nutri-Score not computed - Unknown nutritional quality
121,121,Pomegranate Molasses,Nutri-Score D - Poor nutritional quality
122,122,Sherry Reserve Vinegar,Nutri-Score not computed - Unknown nutritional quality
123,123,Sun Cups Dark Chocolate,Nutri-Score E - Bad nutritional quality
124,124,Herbal Armor DEET-Free Natural Insect Repellant,
125,125,Hot & Spicy Chicken Flavor Ramen Noodles,Nutri-Score not computed - Unknown nutritional quality
126,126,Marscapone,Nutri-Score not computed - Unknown nutritional quality
127,127,Organic Wild Blueberries,Nutri-Score A - Very good nutritional quality
128,128,Traditional Chicken & Orzo with Lemon Soup,Nutri-Score B - Good nutritional quality
129,129,Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack,
130,130,Brioche Bachelor Loaf,
131,131,Yogurt Strawberry Pomegranate,Nutri-Score A - Very good nutritional quality
132,132,Purifying Daily Detox Scrub,
133,133,Stain Release Boost In-Wash Stain Remover Pacs,
134,134,Dark Chocolate Ice Cream Topping,Nutri-Score E - Bad nutritional quality
135,135,Simple,Nutri-Score D - Poor nutritional quality
136,136,Very Vanilla Soymilk,Nutri-Score B - Good nutritional quality
137,137,Olli Napoli Salami,
138,138,"Zita Cut, No. 118",Nutri-Score A - Very good nutritional quality
139,139,Chips Onion Chipotle Garlic,
140,140,Restaurant Style Organic Chia & Quinoa Tortilla Chips,
141,141,Arugula Salad,Nutri-Score A - Very good nutritional quality
142,142,Organic Lemons,Nutri-Score not computed - Unknown nutritional quality
143,143,Coarse Grind Garlic Powder & Parsley Blend,
144,144,Traditional Water Crackers,Nutri-Score D - Poor nutritional quality
145,145,Anti Diarrheal Caplets,
146,146,Organic Ranch Veggie Dip,Nutri-Score E - Bad nutritional quality
147,147,Nectarines,Nutri-Score A - Very good nutritional quality
148,148,Wild Blueberry All Natural Fruit Spread,
149,149,Brut Rosé,Nutri-Score not computed - Unknown nutritional quality
150,150,Aromatherapaes Stress Reducing Lavender & Chamomile Spa Bath,
151,151,"3 in 1 Soap for Every Man, Cucumber & Lemon",
152,152,"Fabric Refresher Meadows & Rain Air Freshener (1 Count, 27 oz)  Air Care",
153,153,"Corn Dogs, Mini, Honey Crunchy Flavor",
154,154,Artisan Ciabatta,Nutri-Score C - Average nutritional quality
155,155,Extra Spearmint Sugar-Free Gum,Nutri-Score not computed - Unknown nutritional quality
156,156,Living Organic Cilantro,
157,157,Smoked Ham & Oven Roasted Turkey Sub Sandwich Kit,Nutri-Score not computed - Unknown nutritional quality
158,158,"Calcium Adult Gummy Vitamins, Orange Cherry & Strawberry",
159,159,100% Recycled Aluminum Foil,Nutri-Score not computed - Unknown nutritional quality
160,160,Hacho Miso Aged & Fermented Soybeans,Nutri-Score not computed - Unknown nutritional quality
161,161,Organic Mini Homestyle Waffles,Nutri-Score not computed - Unknown nutritional quality
162,162,Dressing Bleu Cheese,Nutri-Score D - Poor nutritional quality
163,163,Peanut Butter Cacao Quinoa Clusters,
164,164,Wild Chanterelle Mushroom Ravioli,
165,165,Garlic Parmesan Pita Bread Chips,
166,166,Sparkling Blush Grape Juice,
167,167,Halves & Pieces Walnuts,Nutri-Score C - Average nutritional quality
168,168,Extra Sharp Cheddar Cheese,Nutri-Score D - Poor nutritional quality
169,169,Single Herbs Ginkgo Leaf Dietary Supplement,
170,170,Steakhouse Onion Burger with Garlic Seasoning,
171,171,Gluten Free All Natural Chocolate Chip Cookies,
172,172,Habanero Lime Shrimp Flavor Ramen Noodle Soup,
173,173,Vanishing Acne Treatment Cream,
174,174,T Bone Steak,Nutri-Score not computed - Unknown nutritional quality
175,175,Original Turkey,Nutri-Score D - Poor nutritional quality
176,176,Citrus Terere Yerba Mate,Nutri-Score not computed - Unknown nutritional quality
177,177,Vegan Santa Fe Style Flour Tortilla Rolled Tacos,
178,178,Penne Rigate With Spinach,
179,179,Simply Beyond Black Bean Tortilla Chips,
180,180,Country Style Baked Beans,Nutri-Score B - Good nutritional quality
181,181,Acti-Fresh Body Shape Long Unscented To Go Panty Liners,
182,182,Cookie Dough Performance Energy,
183,183,Kisses Milk Chocolate Candy,Nutri-Score not computed - Unknown nutritional quality
184,184,Chicken Nugget Meal,Nutri-Score B - Good nutritional quality
185,185,Fresh Scent Dishwasher Detergent with Dawn,
186,186,Wild Sardines in Marinara Sauce,Nutri-Score not computed - Unknown nutritional quality
187,187,Mild El Nino Salsa,
188,188,Healthfull Nuts & Seeds Bread,
189,189,Classic Culinary Low Sodium Vegetable Broth,
190,190,Medium Spicy Butter Chicken Simmer Sauce,
191,191,Israeli Style Gefilte Fish,
192,192,fruitwater® Strawberry Kiwi Sparkling Water,
193,193,Lamb Rib Chops,
194,194,Grade A Pasteurized 2% Milkfat Lowfat Cottage Cheese with Pineapple,
195,195,Soda,Nutri-Score not computed - Unknown nutritional quality
196,196,Cold Brew Coffee Tahitian Vanilla,
197,197,Tzatziki Cucumber Sauce,Nutri-Score D - Poor nutritional quality
198,198,Herb Thyme Clamshell,
199,199,Radiant Pantiliners Regular Wrapped Unscented,
200,200,Sloppy Joe,Nutri-Score C - Average nutritional quality
201,201,Spinach & Feta Pierogi,Nutri-Score A - Very good nutritional quality
202,202,"Rescue Remedy, Spray",Nutri-Score not computed - Unknown nutritional quality
203,203,Free & Clear Natural Laundry Detergent For Sensitive Skin,Nutri-Score B - Good nutritional quality
204,204,Chocolate Mint Cookie Crunch Nutrition Bar,Nutri-Score D - Poor nutritional quality
205,205,Roasted Vegetable Soufflé,Nutri-Score A - Very good nutritional quality
206,206,Minis Candy Bars,Nutri-Score D - Poor nutritional quality
207,207,Vanilla Almond Cashew Almondmilk Cashewmilk Blend,
208,208,Italian Pasta Salad,Nutri-Score D - Poor nutritional quality
209,209,Homemade Hot Arrabbiata Fra Diavolo Sauce,Nutri-Score C - Average nutritional quality
210,210,Gluten Free Organic Cereal Coconut Maple Vanilla,
211,211,Organic Blue Corn Sea Salt Tortilla Chips,Nutri-Score C - Average nutritional quality
212,212,Tapatio Salsa Picante Hot Sauce Tortilla Chips,
213,213,Argan Oil of Morocco Renewing Weightless Healing Dry Oil Hair Oil,
214,214,Sambal Oelek Ground Fresh Chili Paste,
215,215,"Gluten Free Oatmeal, Variety Pack",
216,216,"String Cheese, Mozzarella",Nutri-Score D - Poor nutritional quality
217,217,"6\"" Organic Carrot Cake",Nutri-Score not computed - Unknown nutritional quality
218,218,Totz Toothbrush Extra Soft 18+ Months,
219,219,Tegaderm Waterproof Transparent Dressing,
220,220,Cayenne Lemonade Made With Raw Tristate Honey,
221,221,Honey Nut Oatmeal Squares,Nutri-Score B - Good nutritional quality
222,222,Kiwi Strawberry Sparkling Water,Nutri-Score not computed - Unknown nutritional quality
223,223,Foaming Hand Soap Kid Watermelon,
224,224,3 Seed Blue Corn Dipping Chips,
225,225,Shaved Parmesan Cheese,Nutri-Score E - Bad nutritional quality
226,226,Triple Chocolate Snack Size,
227,227,Organic Soups Lentil,Nutri-Score A - Very good nutritional quality
228,228,EcoNet Recycled Bath Sponge,
229,229,Vanilla Cream Soda,Nutri-Score not computed - Unknown nutritional quality
230,230,Low Sodium Turkey,Nutri-Score A - Very good nutritional quality
231,231,Blue Bottle Coffee Frozen Bar,
232,232,Chinese Breakfast Black Tea,
233,233,Tennessee Whiskey,Nutri-Score not computed - Unknown nutritional quality
234,234,Gluten Free Blueberry Muffin Mix,Nutri-Score not computed - Unknown nutritional quality
235,235,Chicken Meatballs Dog Treats,
236,236,Brambleberry Herbal Tea,Nutri-Score not computed - Unknown nutritional quality
237,237,Alpha-Bits Multigrain Cereal,
238,238,Chicharrones Picante Flavor Pork Rinds,
239,239,Nature's Seasons Seasoning Blend,Nutri-Score C - Average nutritional quality
240,240,Shrimp with Pasta & Vegetables,Nutri-Score C - Average nutritional quality
241,241,Original Red Twists,Nutri-Score not computed - Unknown nutritional quality
242,242,Taco Reduced Sodium Seasoning Mix,Nutri-Score D - Poor nutritional quality
243,243,Organic Roasted Garlic Pasta Sauce,Nutri-Score C - Average nutritional quality
244,244,Poppy Seed Bagels,Nutri-Score B - Good nutritional quality
245,245,Triple-Acting Laundry Stain Remover,
246,246,Perfectly Thymed Pita Crisps Baked,
247,247,Dried Sweetened Cranberries,Nutri-Score C - Average nutritional quality
248,248,"Pinot Grigio, California, 2010",
249,249,"Authentic Deep Dish, Spinach & Garlic Pizza",Nutri-Score B - Good nutritional quality
250,250,Extra Strength Melatonin Adult Gummies,
251,251,"Waffles, Red Berry",Nutri-Score not computed - Unknown nutritional quality
252,252,Organic Vegetable Greens & Greens Juice Blend,Nutri-Score B - Good nutritional quality
253,253,Honey Mustard,Nutri-Score D - Poor nutritional quality
254,254,"Cold Remedy, Quick Dissolve Tablets, Cherry Flavor",
255,255,Island Fruits Fruit Snacks,Nutri-Score C - Average nutritional quality
256,256,Key Lime Soda,Nutri-Score not computed - Unknown nutritional quality
257,257,Vegetable Pot Pie,Nutri-Score not computed - Unknown nutritional quality
258,258,Imported Italian Solid Light Tuna In Pure Olive Oil,
259,259,Cantaloupe,Nutri-Score not computed - Unknown nutritional quality
260,260,Organic Southwestern Burrito,
261,261,Petite Dill Pickles,Nutri-Score not computed - Unknown nutritional quality
262,262,Red Food Color,Nutri-Score A - Very good nutritional quality
263,263,Non-Fat Blueberry on the Bottom Greek Yogurt,Nutri-Score A - Very good nutritional quality
264,264,Glass Storage Container with Green Silicone Protection,
265,265,Rio Berry,
266,266,Triple Chocolate Ripple,
267,267,Sponge Mop,
268,268,Stuffed Crust Five Cheese Pizza,
269,269,OneZip Storage Bags Quart Size Value Pack,
270,270,TAI PEI      14OZ.SWEET & SOUR CHKN,
271,271,Propolis Herbal Supplement,
272,272,Thin Stackers Brown Rice  Salt Free,
273,273,Snack Bags,Nutri-Score D - Poor nutritional quality
274,274,Caramel Sauce,Nutri-Score D - Poor nutritional quality
275,275,French Vanilla Ice Cream,Nutri-Score D - Poor nutritional quality
276,276,Diet Root Beer,Nutri-Score not computed - Unknown nutritional quality
277,277,Instant Mashed Potatoes,Nutri-Score not computed - Unknown nutritional quality
278,278,Everyday Detox Dandelion Tea,
279,279,Makeup Remover Cleansing Towelettes,
280,280,Chai Tea Bags,Nutri-Score not computed - Unknown nutritional quality
281,281,Oh My Cod! Cod Pate and Vegetables Cat Food,
282,282,Organic Whole Wheat Elbows,Nutri-Score A - Very good nutritional quality
283,283,Organic Spicy Heirloom Marinara Sauce,
284,284,Mini Nilla Wafers Munch Pack,
285,285,Lite Poppy Seed Dressing Lite,Nutri-Score D - Poor nutritional quality
286,286,Turkey,Nutri-Score B - Good nutritional quality
287,287,Original Sprouted Grains Protein & Fiber Hot Oatmeal,Nutri-Score B - Good nutritional quality
288,288,100% Juice No Sugar Added Fruit Punch,Nutri-Score not computed - Unknown nutritional quality
289,289,Organic Peppermint Lemonade,Nutri-Score not computed - Unknown nutritional quality
290,290,Mint Dental Floss,Nutri-Score C - Average nutritional quality
291,291,Fresh Multi-Purpose Contact Lens Solution,
292,292,Prime Filets Chicken & Tuna Dinner in Gravy Cat Food,
293,293,Minis Original Saltine Crackers,
294,294,Chewables Extra Strength Cherry Creme - 48 CT,
295,295,For Men Odor Armor Body Wash,
296,296,"Write Bros Ball Point Pens, Cap-Pen, Medium (1.0 mm), Black Ink",
297,297,Brisk With Lemon Iced Tea,Nutri-Score not computed - Unknown nutritional quality
298,298,Organic Apple Spinach Kale Coconut Water Superjuice,
299,299,Organic Enriched Unbleached White Flour,
300,300,"Biotin 10,000mcg Maximum Strength",
301,301,Gourmet Dog Treats Bone,
302,302,"Candy, Original",Nutri-Score not computed - Unknown nutritional quality
303,303,Dry Roasted Pistachios,Nutri-Score D - Poor nutritional quality
304,304,Wild Forest Raw Neem Honey,
305,305,Gold Potatoes,Nutri-Score A - Very good nutritional quality
306,306,Precious Mozzarella Cheese,Nutri-Score D - Poor nutritional quality
307,307,Advanced Haircare Color Vibrancy Nourishing Shampoo,
308,308,Graduates Lil' Entrees Spiral Pasta In Turkey Meat Sauce With Green & Yellow Beans,
309,309,"Crackers, Puffed, Corn, Quinoa & Sesame",
310,310,Naturals Savory Turkey Breakfast Sausage,Nutri-Score D - Poor nutritional quality
311,311,Juicing Carrots,Nutri-Score A - Very good nutritional quality
312,312,Peppermint/Banana Split Variety Pack Frozen Dairy Dessert Cones,
313,313,Extra Whitening Multi-Benefit Fluoride Toothpaste,
314,314,Creamy Italian Dressing Marinade,Nutri-Score E - Bad nutritional quality
315,315,Revive Anti-Perspirant Deodorant,
316,316,Best Grains Honey & Crunch Oat Bread,
317,317,Apple Cinnamon Crisp Candle,
318,318,Steamfresh Chef's Favorites Lightly Sauced Roasted Red Potatoes & Green Beans,
319,319,"Glycerine Soap, Pure and Natural, Cucumber",
320,320,Echinacea Goldenseal Alcohol Free Extract,
321,321,Brooklyn Pizza Dough,
322,322,Natural Food Color Packets,
323,323,Strong & Kind Roasted Jalapeno Almond Protein Bar,Nutri-Score D - Poor nutritional quality
324,324,Veggie-Style Mini Corn Dogs,
325,325,Deluxe Sauce Made with 2% Milk Cheese Macaroni & Cheese Dinner,
326,326,"Green Peas, Organic, Petite",Nutri-Score A - Very good nutritional quality
327,327,Disinfectant Spray Cherry Blossom & Pomegranate Scent,
328,328,Organic Whole Grassmilk Milk,Nutri-Score B - Good nutritional quality
329,329,Chilpotles in Adobo Sauce,Nutri-Score C - Average nutritional quality
330,330,Organic Lemon Gingersnap,
331,331,Raspberry Fig Bars,Nutri-Score C - Average nutritional quality
332,332,Basil Daly Bar Soap,
333,333,Sparkling Raspberry Lemonade Water Beverage,Nutri-Score not computed - Unknown nutritional quality
334,334,Blueberry Kombucha,Nutri-Score not computed - Unknown nutritional quality
335,335,Black Currant Kombucha,Nutri-Score not computed - Unknown nutritional quality
336,336,"Soap, Pure-Castile, 18-in-1 Hemp, Lavender",
337,337,Yahrzeit Light Memorial Candle,
338,338,Creamline Yogurt Wild Blueberry,Nutri-Score C - Average nutritional quality
339,339,Eco-Pac Kamut Puffs Cereal,
340,340,Cheese Creations Four Cheese Cheese Sauce,
341,341,"Complete Health Deboned Chicken, Chicken Meal and Rice Cat Food",
342,342,Organic Whole Peeled Baby Carrots,
343,343,Lime Sherbet,Nutri-Score not computed - Unknown nutritional quality
344,344,Extra Strength Berry,
345,345,Sunflower Bread,Nutri-Score A - Very good nutritional quality
346,346,"Vegetable Salad Kit, Sweet Kale",Nutri-Score A - Very good nutritional quality
347,347,Super Slimming Herbal Tea,Nutri-Score not computed - Unknown nutritional quality
348,348,Organic Granulated Tapioca,Nutri-Score not computed - Unknown nutritional quality
349,349,Mixed 12 Pack Lion's Share Ale,
350,350,Go Fresh Nutrium Moisture Body Wash Blue Fig & Orange Blossom Scent,
351,351,Colby Jack & Mild Cheddar Combo Pack,Nutri-Score not computed - Unknown nutritional quality
352,352,Tzatziki Greek Yogurt Dip,Nutri-Score C - Average nutritional quality
353,353,Twist n Loc Small Round Containers + Lids,
354,354,Ground Flaxseed With Mixed Berries,Nutri-Score not computed - Unknown nutritional quality
355,355,Ristorante Pizza Spinaci Thin Crust Pizza,
356,356,White Writing Gel,
357,357,Frozen All Butter Pound Cake,Nutri-Score E - Bad nutritional quality
358,358,Deli Thin-Sliced Honey Ham,
359,359,Whole Wheat Spanakopita,
360,360,Day and Night Multi-Symptom and Severe Cold & Cough Pain Reliever/Fever Reducer,
361,361,Pound Cake Cake Mix,Nutri-Score not computed - Unknown nutritional quality
362,362,Water Crackers Original All Natural,
363,363,Greener Selection Salad,Nutri-Score A - Very good nutritional quality
364,364,Cheerios Cereal,Nutri-Score C - Average nutritional quality
365,365,Vitamin C 1000 Mg Tropical Drink Mix Dietary Supplement,
366,366,Ultimate Omega 1000 mg Lemon Soft Gels,
367,367,Fabric Softener Dryer Sheet Free & Gentle 200CT Fabric Enhancers,
368,368,New Mexico Chili,Nutri-Score not computed - Unknown nutritional quality
369,369,Chocolate Caramel Whey Protein Bar,Nutri-Score D - Poor nutritional quality
370,370,Juniper Berry Soda,Nutri-Score not computed - Unknown nutritional quality
371,371,Moisture Rich Sweet Orange & Argan Conditioner,
372,372,Honey Glazed Carrots,
373,373,Sliced Kosher Salami,Nutri-Score E - Bad nutritional quality
374,374,Multigrain Spaghetti Style Pasta,
375,375,Even & Bright Pink Lemon and Mandarin Orange Body Wash,Nutri-Score E - Bad nutritional quality
376,376,Chunky Beef with Vegetables & Brown Rice Dog Food,Nutri-Score not computed - Unknown nutritional quality
377,377,Powerball Quantum Max Shine & Protect Automatic Dishwasher Detergent,
378,378,Super Dry Beer,Nutri-Score not computed - Unknown nutritional quality
379,379,Clementine Bag,
380,380,Toaster Pops Strawberry,Nutri-Score D - Poor nutritional quality
381,381,Sugar Free Mint Patties,Nutri-Score D - Poor nutritional quality
382,382,Breaded Chicken Breast Tenders,Nutri-Score B - Good nutritional quality
383,383,EverCurl Hydracharge Conditioner,
384,384,Liquid Drink Mix Blackberry Lemonade,
385,385,Real Chicken & Veggies Recipe Dog Food,Nutri-Score B - Good nutritional quality
386,386,Chocolate Brownie Flavor Protein Bar,
387,387,Stove Top Stuffing Mix for Turkey,
388,388,Mache Blend,
389,389,Super Enzymes,Nutri-Score not computed - Unknown nutritional quality
390,390,Organic Yukon Gold Potato Bag,
391,391,OPA Greek Yogurt Ranch Dressing,Nutri-Score C - Average nutritional quality
392,392,Phoenix Anti-Perspirant & Deodorant Stick Twin Pack,
393,393,Aquaphor Healing Ointment,
394,394,Sweet Cream Buttermilk Powder,Nutri-Score E - Bad nutritional quality
395,395,Cashews Natural Unsalted,
396,396,Pure Granulated Cane Sugar,Nutri-Score not computed - Unknown nutritional quality
397,397,Organic Hard Candy Blood Orange and Honey,
398,398,Organic Strawberry Lemon-ade,
399,399,Grass-Fed Yogurt Blueberry Cardamom,Nutri-Score B - Good nutritional quality
400,400,"Flat Floss, Antiplaque, Naturally Waxed, Spearmint",
401,401,100% Pure Beef Homestyle Patties,
402,402,Ultra Thin Pastrami,
403,403,Reg; Organic Apple Cider Vinegar 16 Fl Oz,Nutri-Score E - Bad nutritional quality
404,404,100% Organic Diced Tomatoes,Nutri-Score A - Very good nutritional quality
405,405,Vanilla Almond Protein Bar,Nutri-Score A - Very good nutritional quality
406,406,Almond Glow Almond Body Lotion/Massage Oil,
407,407,Pink Vitamin C 1000 Mg Pink Lemonade Drink Mix,
408,408,Original Bite Size Candies Natural & Artificial Flavors Fun Size,
409,409,Holiday Sugar Plum Spice Herbal Tea,
410,410,Super Plus Cardboard Applicator Unscented Tampons,
411,411,Brazilian Keratin & Argan Oil Leave-In Conditioning & Styling Elixir,Nutri-Score not computed - Unknown nutritional quality
412,412,Dual Action Beta Immune and Anti-Oxidant Effervescent Citrus,
413,413,Gluten Free Chicken Rustica Pizza,
414,414,16 oz Cold Cups,
415,415,Laundry Soil Stain Remover,
416,416,Classics Baby Binks Easter Chocolate Bunny,
417,417,Whole Grain Linguine Pasta,Nutri-Score A - Very good nutritional quality
418,418,Light & Fit Strawberry Cheesecake Greek Nonfat Yogurt,Nutri-Score B - Good nutritional quality
419,419,International Cafe French Vanilla Mix,
420,420,Garlic & Herb Fresh Goat Cheese,Nutri-Score A - Very good nutritional quality
421,421,Mix-Up Flamin' Hot & Cheezy Mix Flavored Snack Mix,
422,422,Red Jalapeno Caesar Dressing,Nutri-Score E - Bad nutritional quality
423,423,Linguine Pasta,Nutri-Score A - Very good nutritional quality
424,424,Sardines in Water Salt Added,
425,425,2nd Foods Bananas,
426,426,Italian Style Panko Breadcrumbs,Nutri-Score C - Average nutritional quality
427,427,Everyday Mega Pack Paper Plates,
428,428,Dark Red Kidney Beans,Nutri-Score A - Very good nutritional quality
429,429,Born Yesterday Pale Ale,
430,430,"Ice Cream, Cookies & Cream",Nutri-Score D - Poor nutritional quality
431,431,Vanilla Almond Breeze Almond Milk,Nutri-Score B - Good nutritional quality
432,432,Organic Whole Granulation Roasted Buckwheat Groats,
433,433,Beach Sage Liquid Fabric Softener,
434,434,Dark Chocolate Raisins,Nutri-Score E - Bad nutritional quality
435,435,Petite Brussels Sprouts,Nutri-Score A - Very good nutritional quality
